x,y,B2,B3,B4,Class_ID
678090.747820769,4764041.69841373,1513,1524,1525,2
678093.265466632,4764041.69841373,1513,1524,1525,2
678095.783112496,4764041.69841373,1513,1524,1525,2
678098.30075836,4764041.69841373,1513,1524,1525,2
678100.818404224,4764041.69841373,1446,1619,1598,2
678143.618383908,4764041.69841373,1368,1539,1462,2
678146.136029772,4764041.69841373,1368,1539,1462,2
678148.653675636,4764041.69841373,1368,1539,1462,2
678151.1713215,4764041.69841373,1152,1176,1138,2
679238.794334658,4764041.69841373,199,509,336,4
679241.311980522,4764041.69841373,285,571,432,4
679243.829626386,4764041.69841373,285,571,432,4
679246.34727225,4764041.69841373,285,571,432,4
679248.864918113,4764041.69841373,285,571,432,4
679251.382563977,4764041.69841373,324,612,518,4
679253.900209841,4764041.69841373,324,612,518,4
679256.417855705,4764041.69841373,324,612,518,4
679258.935501568,4764041.69841373,324,612,518,4
679261.453147432,4764041.69841373,309,634,568,4
679263.970793296,4764041.69841373,309,634,568,4
679266.48843916,4764041.69841373,309,634,568,4
679269.006085024,4764041.69841373,309,634,568,4
679271.523730887,4764041.69841373,312,552,524,4
679274.041376751,4764041.69841373,312,552,524,4
679276.559022615,4764041.69841373,312,552,524,4
679279.076668479,4764041.69841373,312,552,524,4
679281.594314343,4764041.69841373,268,577,506,4
679629.029443546,4764041.69841373,171,486,249,4
679631.54708941,4764041.69841373,165,498,205,4
679634.064735274,4764041.69841373,165,498,205,4
679636.582381137,4764041.69841373,165,498,205,4
679639.100027001,4764041.69841373,165,498,205,4
679641.617672865,4764041.69841373,172,512,234,4
679644.135318729,4764041.69841373,172,512,234,4
679646.652964593,4764041.69841373,172,512,234,4
679649.170610456,4764041.69841373,172,512,234,4
679651.68825632,4764041.69841373,174,519,256,4
679654.205902184,4764041.69841373,174,519,256,4
679656.723548048,4764041.69841373,174,519,256,4
679659.241193912,4764041.69841373,174,519,256,4
679661.758839775,4764041.69841373,211,538,234,4
679664.276485639,4764041.69841373,211,538,234,4
679666.794131503,4764041.69841373,211,538,234,4
679669.311777367,4764041.69841373,211,538,234,4
679671.82942323,4764041.69841373,215,530,217,4
679674.347069094,4764041.69841373,215,530,217,4
679676.864714958,4764041.69841373,215,530,217,4
679679.382360822,4764041.69841373,215,530,217,4
679681.900006686,4764041.69841373,304,619,353,4
679684.417652549,4764041.69841373,304,619,353,4
679686.935298413,4764041.69841373,304,619,353,4
679689.452944277,4764041.69841373,304,619,353,4
679691.970590141,4764041.69841373,338,720,569,4
679694.488236005,4764041.69841373,338,720,569,4
679697.005881868,4764041.69841373,338,720,569,4
679699.523527732,4764041.69841373,338,720,569,4
679702.041173596,4764041.69841373,354,685,551,4
679704.55881946,4764041.69841373,354,685,551,4
679707.076465324,4764041.69841373,354,685,551,4
679709.594111187,4764041.69841373,354,685,551,4
679712.111757051,4764041.69841373,431,742,596,4
679714.629402915,4764041.69841373,431,742,596,4
679717.147048779,4764041.69841373,431,742,596,4
679719.664694643,4764041.69841373,431,742,596,4
678078.15959145,4764039.20714491,916,1241,1125,2
678080.677237313,4764039.20714491,916,1346,1149,2
678083.194883177,4764039.20714491,916,1346,1149,2
678085.712529041,4764039.20714491,916,1346,1149,2
678088.230174905,4764039.20714491,916,1346,1149,2
678090.747820769,4764039.20714491,886,976,832,2
678093.265466632,4764039.20714491,886,976,832,2
678095.783112496,4764039.20714491,886,976,832,2
678098.30075836,4764039.20714491,886,976,832,2
678100.818404224,4764039.20714491,801,835,741,2
678143.618383908,4764039.20714491,1516,1427,1363,2
678146.136029772,4764039.20714491,1516,1427,1363,2
678148.653675636,4764039.20714491,1516,1427,1363,2
678151.1713215,4764039.20714491,1084,1267,1174,2
679241.311980522,4764039.20714491,247,578,414,4
679243.829626386,4764039.20714491,247,578,414,4
679246.34727225,4764039.20714491,247,578,414,4
679248.864918113,4764039.20714491,247,578,414,4
679251.382563977,4764039.20714491,274,559,427,4
679253.900209841,4764039.20714491,274,559,427,4
679256.417855705,4764039.20714491,274,559,427,4
679258.935501568,4764039.20714491,274,559,427,4
679261.453147432,4764039.20714491,291,605,503,4
679263.970793296,4764039.20714491,291,605,503,4
679266.48843916,4764039.20714491,291,605,503,4
679269.006085024,4764039.20714491,291,605,503,4
679271.523730887,4764039.20714491,328,596,559,4
679274.041376751,4764039.20714491,328,596,559,4
679276.559022615,4764039.20714491,328,596,559,4
679279.076668479,4764039.20714491,328,596,559,4
679629.029443546,4764039.20714491,186,525,246,4
679631.54708941,4764039.20714491,144,509,211,4
679634.064735274,4764039.20714491,144,509,211,4
679636.582381137,4764039.20714491,144,509,211,4
